<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.15	04:08:00	1.11912	1.11936	1.11906	1.11928	52	0	2
2025.05.15	04:09:00	1.11926	1.11931	1.11922	1.11924	25	0	2
2025.05.15	04:10:00	1.11928	1.11957	1.11928	1.11954	52	0	2
2025.05.15	04:11:00	1.11955	1.11957	1.11943	1.11944	28	0	2
2025.05.15	04:12:00	1.11945	1.11945	1.11924	1.11935	38	0	2
2025.05.15	04:13:00	1.11935	1.11947	1.11932	1.11937	24	0	2
2025.05.15	04:14:00	1.11939	1.11954	1.11926	1.11954	47	0	2
2025.05.15	04:15:00	1.11955	1.11963	1.11931	1.11935	117	0	2
2025.05.15	04:16:00	1.11935	1.11951	1.11934	1.11948	43	0	2
2025.05.15	04:17:00	1.11948	1.11963	1.11947	1.11950	50	0	2
2025.05.15	04:18:00	1.11946	1.11958	1.11946	1.11955	22	0	2
2025.05.15	04:19:00	1.11956	1.11962	1.11937	1.11952	53	0	2
2025.05.15	04:20:00	1.11951	1.11957	1.11934	1.11935	55	0	2
2025.05.15	04:21:00	1.11937	1.11948	1.11937	1.11941	56	0	2
2025.05.15	04:22:00	1.11941	1.11948	1.11928	1.11947	45	0	2
2025.05.15	04:23:00	1.11948	1.11951	1.11942	1.11951	29	0	2
2025.05.15	04:24:00	1.11954	1.11984	1.11954	1.11978	37	0	2
2025.05.15	04:25:00	1.11978	1.11995	1.11972	1.11992	50	0	2
2025.05.15	04:26:00	1.11988	1.11990	1.11968	1.11981	50	0	2
2025.05.15	04:27:00	1.11979	1.11980	1.11962	1.11968	51	0	2
2025.05.15	04:28:00	1.11968	1.11972	1.11963	1.11965	34	0	3
2025.05.15	04:29:00	1.11964	1.11966	1.11945	1.11953	41	0	2
2025.05.15	04:30:00	1.11953	1.11986	1.11951	1.11975	112	0	2
2025.05.15	04:31:00	1.11976	1.11976	1.11951	1.11966	57	0	2
2025.05.15	04:32:00	1.11966	1.11966	1.11942	1.11963	36	0	2
2025.05.15	04:33:00	1.11964	1.11968	1.11953	1.11957	44	0	2
2025.05.15	04:34:00	1.11957	1.11958	1.11943	1.11947	53	0	2
2025.05.15	04:35:00	1.11946	1.11957	1.11945	1.11954	37	0	2
2025.05.15	04:36:00	1.11954	1.11961	1.11942	1.11954	62	0	2
2025.05.15	04:37:00	1.11954	1.11977	1.11954	1.11974	56	0	2
2025.05.15	04:38:00	1.11973	1.11979	1.11971	1.11973	27	0	2
2025.05.15	04:39:00	1.11974	1.11992	1.11973	1.11987	41	0	2
2025.05.15	04:40:00	1.11991	1.11993	1.11977	1.11980	57	0	2
2025.05.15	04:41:00	1.11978	1.11981	1.11971	1.11978	27	0	2
