<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.16	02:32:00	0.89369	0.89369	0.89359	0.89359	22	0	9
2025.05.16	02:34:00	0.89360	0.89360	0.89353	0.89358	20	0	7
2025.05.16	02:36:00	0.89359	0.89367	0.89352	0.89355	60	0	6
2025.05.16	02:38:00	0.89355	0.89373	0.89355	0.89371	49	0	6
2025.05.16	02:40:00	0.89372	0.89378	0.89362	0.89369	47	0	5
2025.05.16	02:42:00	0.89370	0.89382	0.89360	0.89370	34	0	4
2025.05.16	02:44:00	0.89370	0.89376	0.89368	0.89374	17	0	5
2025.05.16	02:46:00	0.89374	0.89383	0.89370	0.89370	21	0	5
2025.05.16	02:48:00	0.89369	0.89379	0.89363	0.89367	43	0	3
2025.05.16	02:50:00	0.89367	0.89374	0.89367	0.89372	44	0	6
2025.05.16	02:52:00	0.89372	0.89382	0.89369	0.89380	49	0	6
2025.05.16	02:54:00	0.89380	0.89381	0.89374	0.89374	47	0	7
2025.05.16	02:56:00	0.89372	0.89389	0.89366	0.89389	49	0	7
2025.05.16	02:58:00	0.89388	0.89391	0.89373	0.89375	52	0	7
2025.05.16	03:00:00	0.89377	0.89405	0.89369	0.89405	148	0	5
2025.05.16	03:02:00	0.89404	0.89427	0.89401	0.89426	128	0	5
2025.05.16	03:04:00	0.89426	0.89442	0.89407	0.89441	193	0	3
2025.05.16	03:06:00	0.89440	0.89440	0.89411	0.89418	108	0	4
2025.05.16	03:08:00	0.89422	0.89424	0.89412	0.89420	96	0	6
2025.05.16	03:10:00	0.89421	0.89427	0.89412	0.89426	114	0	4
2025.05.16	03:12:00	0.89426	0.89426	0.89407	0.89418	99	0	5
2025.05.16	03:14:00	0.89418	0.89424	0.89401	0.89424	112	0	4
2025.05.16	03:16:00	0.89424	0.89431	0.89416	0.89422	91	0	4
2025.05.16	03:18:00	0.89422	0.89425	0.89410	0.89420	96	0	6
2025.05.16	03:20:00	0.89420	0.89436	0.89420	0.89425	89	0	6
2025.05.16	03:22:00	0.89424	0.89430	0.89418	0.89420	87	0	5
2025.05.16	03:24:00	0.89421	0.89423	0.89403	0.89410	71	0	2
2025.05.16	03:26:00	0.89411	0.89420	0.89394	0.89396	81	0	3
2025.05.16	03:28:00	0.89395	0.89403	0.89373	0.89378	104	0	5
2025.05.16	03:30:00	0.89379	0.89403	0.89378	0.89400	89	0	5
2025.05.16	03:32:00	0.89401	0.89414	0.89400	0.89409	85	0	3
2025.05.16	03:34:00	0.89408	0.89410	0.89396	0.89408	98	0	4
2025.05.16	03:36:00	0.89407	0.89421	0.89384	0.89384	124	0	6
2025.05.16	03:38:00	0.89385	0.89393	0.89382	0.89384	99	0	5
2025.05.16	03:40:00	0.89384	0.89384	0.89368	0.89369	116	0	3
2025.05.16	03:42:00	0.89369	0.89370	0.89342	0.89346	142	0	4
2025.05.16	03:44:00	0.89347	0.89348	0.89286	0.89288	135	0	5
2025.05.16	03:46:00	0.89291	0.89291	0.89252	0.89260	171	0	5
2025.05.16	03:48:00	0.89261	0.89262	0.89239	0.89247	98	0	4
2025.05.16	03:50:00	0.89248	0.89297	0.89248	0.89287	139	0	3
2025.05.16	03:52:00	0.89289	0.89298	0.89271	0.89284	149	0	5
2025.05.16	03:54:00	0.89284	0.89304	0.89257	0.89268	176	0	3
2025.05.16	03:56:00	0.89271	0.89294	0.89265	0.89276	135	0	5
2025.05.16	03:58:00	0.89277	0.89291	0.89260	0.89275	152	0	5
2025.05.16	04:00:00	0.89273	0.89312	0.89266	0.89305	164	0	3
2025.05.16	04:02:00	0.89306	0.89330	0.89303	0.89330	70	0	4
2025.05.16	04:04:00	0.89330	0.89348	0.89329	0.89332	99	0	5
2025.05.16	04:06:00	0.89333	0.89348	0.89329	0.89347	109	0	5
2025.05.16	04:08:00	0.89346	0.89361	0.89344	0.89351	105	0	4
2025.05.16	04:10:00	0.89347	0.89347	0.89314	0.89330	129	0	3
2025.05.16	04:12:00	0.89329	0.89344	0.89324	0.89342	109	0	2
2025.05.16	04:14:00	0.89342	0.89355	0.89331	0.89339	176	0	5
2025.05.16	04:16:00	0.89339	0.89356	0.89332	0.89340	136	0	4
2025.05.16	04:18:00	0.89339	0.89353	0.89333	0.89353	122	0	4
2025.05.16	04:20:00	0.89353	0.89376	0.89349	0.89376	109	0	5
2025.05.16	04:22:00	0.89375	0.89375	0.89364	0.89366	125	0	3
2025.05.16	04:24:00	0.89365	0.89371	0.89350	0.89353	120	0	4
2025.05.16	04:26:00	0.89353	0.89355	0.89328	0.89332	96	0	4
2025.05.16	04:28:00	0.89333	0.89356	0.89332	0.89353	85	0	2
2025.05.16	04:30:00	0.89354	0.89372	0.89349	0.89369	127	0	5
2025.05.16	04:32:00	0.89369	0.89377	0.89355	0.89370	117	0	5
2025.05.16	04:34:00	0.89370	0.89405	0.89370	0.89404	133	0	5
2025.05.16	04:36:00	0.89404	0.89415	0.89400	0.89400	129	0	5
2025.05.16	04:38:00	0.89400	0.89408	0.89370	0.89374	120	0	4
2025.05.16	04:40:00	0.89373	0.89414	0.89373	0.89411	115	0	4
2025.05.16	04:42:00	0.89412	0.89416	0.89398	0.89403	111	0	5
2025.05.16	04:44:00	0.89404	0.89406	0.89394	0.89403	90	0	5
2025.05.16	04:46:00	0.89403	0.89416	0.89400	0.89404	87	0	4
2025.05.16	04:48:00	0.89404	0.89410	0.89388	0.89397	112	0	5
2025.05.16	04:50:00	0.89398	0.89403	0.89387	0.89389	97	0	5
2025.05.16	04:52:00	0.89389	0.89394	0.89371	0.89371	123	0	4
2025.05.16	04:54:00	0.89371	0.89384	0.89370	0.89382	83	0	5
2025.05.16	04:56:00	0.89382	0.89382	0.89364	0.89376	121	0	5
2025.05.16	04:58:00	0.89377	0.89405	0.89374	0.89404	147	0	3
2025.05.16	05:00:00	0.89408	0.89408	0.89389	0.89396	121	0	4
2025.05.16	05:02:00	0.89397	0.89401	0.89358	0.89360	133	0	2
2025.05.16	05:04:00	0.89360	0.89385	0.89357	0.89384	128	0	2
2025.05.16	05:06:00	0.89385	0.89385	0.89365	0.89367	117	0	4
2025.05.16	05:08:00	0.89367	0.89367	0.89344	0.89346	93	0	5
2025.05.16	05:10:00	0.89345	0.89350	0.89340	0.89346	112	0	4
2025.05.16	05:12:00	0.89346	0.89369	0.89337	0.89367	118	0	3
2025.05.16	05:14:00	0.89366	0.89402	0.89366	0.89396	127	0	1
2025.05.16	05:16:00	0.89395	0.89399	0.89387	0.89396	76	0	4
2025.05.16	05:18:00	0.89397	0.89419	0.89397	0.89408	96	0	5
2025.05.16	05:20:00	0.89408	0.89413	0.89400	0.89408	101	0	4
2025.05.16	05:22:00	0.89409	0.89409	0.89387	0.89401	90	0	3
2025.05.16	05:24:00	0.89401	0.89407	0.89392	0.89397	76	0	4
2025.05.16	05:26:00	0.89398	0.89413	0.89397	0.89399	86	0	5
2025.05.16	05:28:00	0.89399	0.89400	0.89380	0.89383	104	0	3
2025.05.16	05:30:00	0.89383	0.89413	0.89377	0.89408	131	0	4
2025.05.16	05:32:00	0.89406	0.89421	0.89402	0.89413	135	0	3
2025.05.16	05:34:00	0.89414	0.89429	0.89405	0.89427	120	0	3
2025.05.16	05:36:00	0.89427	0.89454	0.89422	0.89452	93	0	2
2025.05.16	05:38:00	0.89453	0.89473	0.89446	0.89463	131	0	3
